codigo_ocorrencia;ocorrencia_classificacao;ocorrencia_tipo;ocorrencia_tipo_categoria;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;investigacao_status
201509183338691;ACIDENTE;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR;ANGRA DOS REIS;RJ;BRASIL;FINALIZADA
201408227604299;ACIDENTE;CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO;OUTROS;ANGRA DOS REIS;RJ;BRASIL;FINALIZADA
201208318138992;ACIDENTE;OUTROS;OUTROS;ANGRA DOS REIS;RJ;BRASIL;ATIVA
200906128607729;ACIDENTE;INCURSÃO EM PISTA;INCURSÃO EM PISTA;ANGRA DOS REIS;RJ;BRASIL;ATIVA
201604281742226;INCIDENTE;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;ANGRA DOS REIS;RJ;BRASIL;FINALIZADA
201207125348634;ACIDENTE;VOO CONTROLADO CONTRA O TERRENO;VOO CONTROLADO CONTRA O TERRENO;ANGRA DOS REIS;RJ;BRASIL;FINALIZADA
201102064547004;INCIDENTE;COLISÃO COM AVE;COLISÃO COM AVE;ANGRA DOS REIS;RJ;BRASIL;FINALIZADA
201609131430542;ACIDENTE;EXCURSÃO DE PISTA;EXCURSÃO DE PISTA;ANGRA DOS REIS;RJ;BRASIL;ATIVA
201102203023021;INCIDENTE GRAVE;COM ROTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;ANGRA DOS REIS;RJ;BRASIL;ATIVA
201604271828141;INCIDENTE GRAVE;POUSO SEM TREM;CONTATO ANORMAL COM A PISTA;ANGRA DOS REIS;RJ;BRASIL;ATIVA
201102052791822;INCIDENTE;TRÁFEGO AÉREO;PERDA DE SEPARAÇÃO / COLISÃO EM VOO;ANGRA DOS REIS;RJ;BRASIL;FINALIZADA
201212272090341;ACIDENTE;POUSO BRUSCO;CONTATO ANORMAL COM A PISTA;ANGRA DOS REIS;RJ;BRASIL;FINALIZADA
201407141681337;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;ANGRA DOS REIS;RJ;BRASIL;FINALIZADA
200910129260596;ACIDENTE;EXCURSÃO DE PISTA;EXCURSÃO DE PISTA;ANGRA DOS REIS;RJ;BRASIL;FINALIZADA
201212273864973;INCIDENTE;VAZAMENTO DE OUTROS FLUIDOS;OUTROS;BOA VISTA;RR;BRASIL;FINALIZADA
201009014590067;ACIDENTE;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR;BOA VISTA;RR;BRASIL;FINALIZADA
201209141796176;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;BOA VISTA;RR;BRASIL;FINALIZADA
201508159929510;ACIDENTE;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;BOA VISTA;RR;BRASIL;FINALIZADA
201105165154118;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BOA VISTA;RR;BRASIL;FINALIZADA
201304154740415;INCIDENTE;CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO;OUTROS;BOA VISTA;RR;BRASIL;FINALIZADA
200909251799064;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;BOA VISTA;RR;BRASIL;FINALIZADA
201105236654663;ACIDENTE;COM PARA-BRISAS / JANELA / PORTA;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BOA VISTA;RR;BRASIL;FINALIZADA
201604201642115;ACIDENTE;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;BOA VISTA;RR;BRASIL;FINALIZADA
201310055119546;INCIDENTE;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR;BOA VISTA;RR;BRASIL;FINALIZADA
201501292823312;ACIDENTE;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;BOA VISTA;RR;BRASIL;FINALIZADA
201209264932342;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;BOA VISTA;RR;BRASIL;FINALIZADA
201110231217982;INCIDENTE;CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO;OUTROS;BOA VISTA;RR;BRASIL;FINALIZADA
201207171533514;INCIDENTE;SOPRO DE REATOR;OUTROS;BOA VISTA;RR;BRASIL;FINALIZADA
201505081529330;ACIDENTE;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR;AFONSO CLÁUDIO;ES;BRASIL;FINALIZADA
201012113981199;INCIDENTE GRAVE;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR;ÁGUA BRANCA;AL;BRASIL;ATIVA
200901078078550;INCIDENTE;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;ANORI;AM;BRASIL;FINALIZADA
200905218704582;INCIDENTE;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR;ADAMANTINA;SP;BRASIL;FINALIZADA
201012082219340;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;BRASÍLIA;DF;BRASIL;FINALIZADA
201008106870169;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201211015848731;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201410093482164;INCIDENTE;OUTROS;OUTROS;BRASÍLIA;DF;BRASIL;FINALIZADA
201301072855528;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201601271224323;INCIDENTE;OUTROS;OUTROS;BRASÍLIA;DF;BRASIL;FINALIZADA
201007056628349;INCIDENTE;COLISÃO COM AVE;COLISÃO COM AVE;BRASÍLIA;DF;BRASIL;FINALIZADA
201612051454565;INCIDENTE;FUMAÇA NA CABINE;FOGO/FUMAÇA (SEM IMPACTO);BRASÍLIA;DF;BRASIL;FINALIZADA
201402121022040;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201602151643527;INCIDENTE;FOGO NO SOLO;FOGO/FUMAÇA (SEM IMPACTO);BRASÍLIA;DF;BRASIL;FINALIZADA
201201162339301;INCIDENTE;SOPRO DE REATOR;OUTROS;BRASÍLIA;DF;BRASIL;FINALIZADA
200902095199284;INCIDENTE;COM PARA-BRISAS / JANELA / PORTA;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201312107584253;ACIDENTE;POUSO SEM TREM;CONTATO ANORMAL COM A PISTA;BRASÍLIA;DF;BRASIL;FINALIZADA
201402124772082;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201304131652552;INCIDENTE;COLISÃO COM OBSTÁCULOS NO SOLO;COLISÃO NO SOLO;BRASÍLIA;DF;BRASIL;FINALIZADA
201301315719929;INCIDENTE;PERDA DE COMPONENTE NO SOLO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201304303550348;INCIDENTE;COLISÃO COM OBSTÁCULOS NO SOLO;COLISÃO NO SOLO;BRASÍLIA;DF;BRASIL;FINALIZADA
200908073385318;ACIDENTE;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR;BRASÍLIA;DF;BRASIL;FINALIZADA
200908303419146;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201609151240132;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
200906014832005;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
200903057160862;INCIDENTE;F.O.D.;OUTROS;BRASÍLIA;DF;BRASIL;FINALIZADA
201006108630131;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;BRASÍLIA;DF;BRASIL;FINALIZADA
201105185856144;INCIDENTE;TRÁFEGO AÉREO;PERDA DE SEPARAÇÃO / COLISÃO EM VOO;BRASÍLIA;DF;BRASIL;FINALIZADA
201104177243388;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
200909262865305;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201107192944291;INCIDENTE GRAVE;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201401113235090;INCIDENTE;DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
200908249821293;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201001105932073;INCIDENTE;COLISÃO COM AVE;COLISÃO COM AVE;BRASÍLIA;DF;BRASIL;FINALIZADA
201105235453158;INCIDENTE;TRÁFEGO AÉREO;PERDA DE SEPARAÇÃO / COLISÃO EM VOO;BRASÍLIA;DF;BRASIL;FINALIZADA
201201191732215;ACIDENTE;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;BRASÍLIA;DF;BRASIL;FINALIZADA
201010049618214;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;BRASÍLIA;DF;BRASIL;FINALIZADA
201401145307951;INCIDENTE;DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201211211003450;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201206224204460;INCIDENTE GRAVE;POUSO ANTES DA PISTA;POUSO AQUÉM/ALÉM DA PISTA;BRASÍLIA;DF;BRASIL;FINALIZADA
201506052347918;INCIDENTE;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;BRASÍLIA;DF;BRASIL;FINALIZADA
201903181702062;INCIDENTE;VAZAMENTO DE OUTROS FLUIDOS;OUTROS;BRASÍLIA;DF;BRASIL;FINALIZADA
200901125918921;INCIDENTE;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201510088971332;INCIDENTE;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR;BRASÍLIA;DF;BRASIL;FINALIZADA
201007047417372;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;BRASÍLIA;DF;BRASIL;FINALIZADA
201104187139368;INCIDENTE;COLISÃO COM OBSTÁCULOS NO SOLO;COLISÃO NO SOLO;BRASÍLIA;DF;BRASIL;FINALIZADA
201108277638802;ACIDENTE;OUTROS;OUTROS;BRASÍLIA;DF;BRASIL;FINALIZADA
201208016781087;INCIDENTE;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR;BRASÍLIA;DF;BRASIL;FINALIZADA
200910046207171;INCIDENTE;SUPERAQUECIMENTO;FALHA OU MAU FUNCIONAMENTO DO MOTOR;BRASÍLIA;DF;BRASIL;FINALIZADA
201811131357453;INCIDENTE;CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO;OUTROS;BRASÍLIA;DF;BRASIL;FINALIZADA
201302111701073;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201609281057514;INCIDENTE;OUTROS;OUTROS;BRASÍLIA;DF;BRASIL;FINALIZADA
201007199377105;ACIDENTE;POUSO BRUSCO;CONTATO ANORMAL COM A PISTA;BRASÍLIA;DF;BRASIL;FINALIZADA
200908067142107;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201903151738113;INCIDENTE;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201902061128486;INCIDENTE;CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO;OUTROS;BRASÍLIA;DF;BRASIL;FINALIZADA
200911035801074;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201009169551671;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
200902212026791;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;BRASÍLIA;DF;BRASIL;FINALIZADA
201210113968925;INCIDENTE;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201211187960040;INCIDENTE;OUTROS;OUTROS;BRASÍLIA;DF;BRASIL;FINALIZADA
201603081944514;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201504084922109;INCIDENTE GRAVE;POUSO ANTES DA PISTA;POUSO AQUÉM/ALÉM DA PISTA;BRASÍLIA;DF;BRASIL;FINALIZADA
201308066299610;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201312168198322;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201412267034604;INCIDENTE;VAZAMENTO DE OUTROS FLUIDOS;OUTROS;BRASÍLIA;DF;BRASIL;FINALIZADA
201006022025561;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201603170133337;INCIDENTE;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR;BRASÍLIA;DF;BRASIL;FINALIZADA
201504201444278;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;BRASÍLIA;DF;BRASIL;FINALIZADA
201503271796329;INCIDENTE;COM PARA-BRISAS / JANELA / PORTA;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201410043195984;INCIDENTE;COM LANÇAMENTO DE CARGA;OUTROS;BRASÍLIA;DF;BRASIL;FINALIZADA
201510057745214;INCIDENTE GRAVE;PERDA DE COMPONENTE EM VOO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;ATIVA
201201213452808;INCIDENTE GRAVE;FOGO EM VOO;FOGO/FUMAÇA (SEM IMPACTO);BRASÍLIA;DF;BRASIL;FINALIZADA
201409258846455;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;BRASÍLIA;DF;BRASIL;FINALIZADA
201009154428874;INCIDENTE;COM COMANDOS DE VOO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201112141688342;INCIDENTE;FALHA DO MOTOR NO SOLO;FALHA OU MAU FUNCIONAMENTO DO MOTOR;BRASÍLIA;DF;BRASIL;FINALIZADA
201405078427030;INCIDENTE;COLISÃO COM AVE;COLISÃO COM AVE;BRASÍLIA;DF;BRASIL;FINALIZADA
201208061806458;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201406087294163;INCIDENTE;OUTROS;OUTROS;BRASÍLIA;DF;BRASIL;FINALIZADA
201408131266759;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201403288335660;ACIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;BRASÍLIA;DF;BRASIL;ATIVA
201109155790590;INCIDENTE;TRÁFEGO AÉREO;PERDA DE SEPARAÇÃO / COLISÃO EM VOO;BRASÍLIA;DF;BRASIL;FINALIZADA
201804101509299;INCIDENTE GRAVE;INCURSÃO EM PISTA;INCURSÃO EM PISTA;BRASÍLIA;DF;BRASIL;ATIVA
201408175579444;INCIDENTE GRAVE;POUSO SEM TREM;CONTATO ANORMAL COM A PISTA;BRASÍLIA;DF;BRASIL;FINALIZADA
201306285549226;INCIDENTE;OUTROS;OUTROS;BRASÍLIA;DF;BRASIL;FINALIZADA
200911185348373;INCIDENTE;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR;BRASÍLIA;DF;BRASIL;FINALIZADA
201601261619195;INCIDENTE GRAVE;HIPÓXIA;MÉDICO;BRASÍLIA;DF;BRASIL;ATIVA
201402176978877;INCIDENTE;COLISÃO COM OBSTÁCULOS NO SOLO;COLISÃO NO SOLO;BRASÍLIA;DF;BRASIL;FINALIZADA
201708101954379;INCIDENTE;COM PESSOAL EM VOO;OUTROS;BRASÍLIA;DF;BRASIL;FINALIZADA
201005234419706;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;BRASÍLIA;DF;BRASIL;FINALIZADA
201102065140201;INCIDENTE;COLISÃO COM AVE;COLISÃO COM AVE;BRASÍLIA;DF;BRASIL;FINALIZADA
201606221316434;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;BRASÍLIA;DF;BRASIL;FINALIZADA
201405193532641;ACIDENTE;COLISÃO DE AERONAVES EM VOO;PERDA DE SEPARAÇÃO / COLISÃO EM VOO;BRASÍLIA;DF;BRASIL;FINALIZADA
201006218726530;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201602251536597;INCIDENTE;TRÁFEGO AÉREO;PERDA DE SEPARAÇÃO / COLISÃO EM VOO;BRASÍLIA;DF;BRASIL;FINALIZADA
201701241851071;INCIDENTE;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201005298364334;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;BRASÍLIA;DF;BRASIL;FINALIZADA
201603081820596;INCIDENTE;TRÁFEGO AÉREO;PERDA DE SEPARAÇÃO / COLISÃO EM VOO;BRASÍLIA;DF;BRASIL;FINALIZADA
201209298378788;INCIDENTE;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR;BRASÍLIA;DF;BRASIL;FINALIZADA
200903133820094;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;BRASÍLIA;DF;BRASIL;FINALIZADA
201303084692749;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
200904287041195;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ;BRASÍLIA;DF;BRASIL;FINALIZADA
200903199901372;INCIDENTE;FUMAÇA NA CABINE;FOGO/FUMAÇA (SEM IMPACTO);BRASÍLIA;DF;BRASIL;FINALIZADA
201006217439011;INCIDENTE;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR;BRASÍLIA;DF;BRASIL;FINALIZADA
201008276773531;INCIDENTE;OUTROS;OUTROS;BRASÍLIA;DF;BRASIL;FINALIZADA
200906157445247;INCIDENTE;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201711301617145;INCIDENTE GRAVE;CAUSADO POR FENÔMENO METEOROLÓGICO NO SOLO;OUTROS;BRASÍLIA;DF;BRASIL;ATIVA
201004028193780;INCIDENTE;OUTROS;OUTROS;BRASÍLIA;DF;BRASIL;FINALIZADA
201302221854441;INCIDENTE;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
201009023586794;INCIDENTE;OUTROS;OUTROS;BRASÍLIA;DF;BRASIL;FINALIZADA
201103274169638;INCIDENTE;DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
200904195514128;INCIDENTE;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR;BRASÍLIA;DF;BRASIL;FINALIZADA
201008064328766;INCIDENTE;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
200906238999141;INCIDENTE;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BRASÍLIA;DF;BRASIL;FINALIZADA
